date,currency,ttbr,source,verified
2024-07-31,USD,83.7178,Client working file (Computershare portfolio),N
2024-08-30,USD,83.8898,Client working file (Computershare portfolio),N
2024-09-10,USD,83.982,Client working file (Computershare portfolio),N
2024-09-30,USD,83.8273,Client working file (Computershare portfolio),N
2024-10-31,USD,84.0915,Client working file (Computershare portfolio),N
2024-11-29,USD,84.5619,Client working file (Computershare portfolio),N
2024-12-10,USD,84.874,Client working file (Computershare portfolio),N
2024-12-31,USD,85.5575,Client working file (Computershare portfolio),N
2025-01-31,USD,86.5808,Client working file (Computershare portfolio),N
2025-02-28,USD,87.4711,Client working file (Computershare portfolio),N
2025-03-10,USD,87.3551,Client working file (Computershare portfolio),N
2025-03-31,USD,85.4681,Client working file (Computershare portfolio),N
2025-04-30,USD,84.5312,Client working file (Computershare portfolio),N
2025-05-30,USD,85.5156,Client working file (Computershare portfolio),N
2025-06-10,USD,85.6528,Client working file (Computershare portfolio),N
2025-06-30,USD,85.714,Client working file (Computershare portfolio),N
2025-07-31,USD,87.4894,Client working file (Computershare portfolio),N
2025-08-29,USD,88.1672,Client working file (Computershare portfolio),N
2025-09-12,USD,88.2776,Client working file (Computershare portfolio),N
2025-09-30,USD,88.8407,Client working file (Computershare portfolio),N
2025-10-31,USD,88.7854,Client working file (Computershare portfolio),N
2025-11-28,USD,89.3437,Client working file (Computershare portfolio),N
2025-12-11,USD,90.253,Client working file (Computershare portfolio),N
2025-12-31,USD,89.9619,Client working file (Computershare portfolio),N
2026-01-30,USD,91.6823,Client working file (Computershare portfolio),N
2026-02-27,USD,91.0806,Client working file (Computershare portfolio),N
2026-03-11,USD,92.2288,Client working file (Computershare portfolio),N
2026-03-31,USD,93.4843,Client working file (Computershare portfolio),N
